feature,importance_default,importance_interpretation_style,gap_interpretation_minus_default
OilPrice,447,1443,996
oil_volatility_20,454,1252,798
MA_ratio,357,1131,774
oil_diff_lag1,332,1016,684
VIX,314,995,681
OilInventories,249,699,450
IndustryProduction,224,661,437
RealInterestRate,182,545,363
CPE,187,522,335
OPECProduction,144,450,306
is_friday,23,62,39
gfc_2008_shock,25,57,32
war_2022_shock,24,52,28
covid_2020_shock,14,48,34
opec_2014_regime,8,32,24
opec_2014_shock,11,28,17
war_2022_window,5,7,2
MA_5_gt_MA_20,0,0,0
cond_opec_cut,0,0,0
