dataset,model,n_train,n_test,feature_count,MAE,RMSE,R2,Directional_Accuracy
dataset1_raw_only,naive_zero,3838,960,12,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,0.0020833333333333333
dataset1_raw_only,OLS,3838,960,12,1.3595239891169124,1.8678470575040425,-0.05810570970294804,0.51875
dataset1_raw_only,Ridge,3838,960,12,1.3583163425343308,1.8665547393719855,-0.056642060792142734,0.51875
dataset1_raw_only,Lasso,3838,960,12,1.3376610470372052,1.842031771811904,-0.029059926365033517,0.5166666666666667
dataset2_raw_plus_derived,naive_zero,3838,960,26,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,0.0020833333333333333
dataset2_raw_plus_derived,OLS,3838,960,26,1.514013666053999,1.982499041055846,-0.19198943080415276,0.5125
dataset2_raw_plus_derived,Ridge,3838,960,26,1.5107705424295907,1.9787766449347448,-0.18751740719124488,0.5135416666666667
dataset2_raw_plus_derived,Lasso,3838,960,26,1.491704971147719,1.9594075877074553,-0.164383395851587,0.5166666666666667
dataset3_diff_only,naive_zero,3838,960,11,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,0.0020833333333333333
dataset3_diff_only,OLS,3838,960,11,1.3261810748065959,1.8249170527516414,-0.010026321185495846,0.496875
dataset3_diff_only,Ridge,3838,960,11,1.3261741730239403,1.8249094217340276,-0.010017874212499445,0.496875
dataset3_diff_only,Lasso,3838,960,11,1.3258661979182391,1.8244577802620394,-0.009518003362554817,0.5
dataset4_derived_full,naive_zero,3838,960,26,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,0.0020833333333333333
dataset4_derived_full,OLS,3838,960,26,1.3542170411161039,1.8744934951903671,-0.06564931012019559,0.5197916666666667
dataset4_derived_full,Ridge,3838,960,26,1.354117313696233,1.8744666720365568,-0.0656188124194419,0.5197916666666667
dataset4_derived_full,Lasso,3838,960,26,1.3528509513888707,1.8727150530784522,-0.06362818113489999,0.5177083333333333
