feature,mean_abs_SHAP,rank
CPI,0.21008006923294192,1
MA_5,0.1698244008326944,2
oil_volatility_5,0.1572947370085317,3
MA_ratio,0.1510326963347304,4
OilPrice,0.14906770413490975,5
oil_momentum_20,0.13703312368842782,6
CPE,0.13539814621581905,7
OilInventories,0.1333642648915766,8
oil_diff_lag5,0.12996401852920933,9
oil_diff_lag1,0.12205536971712647,10
oil_volatility_20,0.12104561701362344,11
MA_20,0.11937639129851473,12
VIX,0.11225535469436805,13
OPECProduction,0.10752699952203956,14
oil_momentum_5,0.09761552626808015,15
TreasuryYield,0.09725370145709347,16
RealInterestRate,0.09641957334747332,17
FedFundsRate,0.09078000172926705,18
DollarIndex,0.09042829562199742,19
OilProduction,0.08112719252612838,20
IndustryProduction,0.07395594831880466,21
vix_high,0.07327131859675026,22
is_friday,0.031744003004191314,23
is_monday,0.014127426296307206,24
TermSpread_inversion,0.006322749560911338,25
MA_5_gt_MA_20,0.0026608091367104005,26
