dataset,model,n_train,n_test,feature_count,MAE,RMSE,R2,Directional_Accuracy,Directional_Accuracy_thr_0.05,CV_RMSE_mean,CV_RMSE_std,best_iteration
dataset1_raw_only,naive_zero,3838,960,12,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,,,,,
dataset1_raw_only,naive_train_mean,3838,960,12,1.3241920705228418,1.8160954258032382,-0.00028501288679483316,0.5156576200417536,,,,
dataset1_raw_only,naive_train_median,3838,960,12,1.3240520833333336,1.8174689646593698,-0.0017986446865609906,0.5156576200417536,0.5156576200417536,,,
dataset1_raw_only,LGBM_default,3838,960,12,1.3245355230150837,1.8159813326975625,-0.00015933442608617732,0.5,,1.7809507662694142,0.9561347926247992,11.0
dataset2_raw_plus_derived,naive_zero,3838,960,26,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,,,,,
dataset2_raw_plus_derived,naive_train_mean,3838,960,26,1.3241920705228418,1.8160954258032382,-0.00028501288679483316,0.5156576200417536,,,,
dataset2_raw_plus_derived,naive_train_median,3838,960,26,1.3240520833333336,1.8174689646593698,-0.0017986446865609906,0.5156576200417536,0.5156576200417536,,,
dataset2_raw_plus_derived,naive_lag1_persistence,3838,960,26,1.9108749999999999,2.6846134498284857,-1.1857976568859643,0.47175732217573224,0.4709051724137931,,,
dataset2_raw_plus_derived,LGBM_default,3838,960,26,1.324556290544893,1.8160701501009644,-0.000257169933305601,0.5073068893528184,,1.7806308719461577,0.9563435888412714,1.0
dataset3_diff_only,naive_zero,3838,960,11,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,,,,,
dataset3_diff_only,naive_train_mean,3838,960,11,1.3241920705228418,1.8160954258032382,-0.00028501288679483316,0.5156576200417536,,,,
dataset3_diff_only,naive_train_median,3838,960,11,1.3240520833333336,1.8174689646593698,-0.0017986446865609906,0.5156576200417536,0.5156576200417536,,,
dataset3_diff_only,LGBM_default,3838,960,11,1.3248799820297414,1.8162447869375908,-0.00044955253133349693,0.5,0.46875,1.7784867794572683,0.9570918045394957,10.0
dataset4_derived_full,naive_zero,3838,960,26,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,,,,,
dataset4_derived_full,naive_train_mean,3838,960,26,1.3241920705228418,1.8160954258032382,-0.00028501288679483316,0.5156576200417536,,,,
dataset4_derived_full,naive_train_median,3838,960,26,1.3240520833333336,1.8174689646593698,-0.0017986446865609906,0.5156576200417536,0.5156576200417536,,,
dataset4_derived_full,naive_lag1_persistence,3838,960,26,1.9108749999999999,2.6846134498284857,-1.1857976568859643,0.47175732217573224,0.4709051724137931,,,
dataset4_derived_full,LGBM_default,3838,960,26,1.3243979402454102,1.8159945531194683,-0.0001738968847047051,0.5010438413361169,,1.7787554338937592,0.9572570006895105,1.0
dataset1_raw_only_with_dummies,naive_zero,3838,960,28,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,,,,,
dataset1_raw_only_with_dummies,naive_train_mean,3838,960,28,1.3241920705228418,1.8160954258032382,-0.00028501288679483316,0.5156576200417536,,,,
dataset1_raw_only_with_dummies,naive_train_median,3838,960,28,1.3240520833333336,1.8174689646593698,-0.0017986446865609906,0.5156576200417536,0.5156576200417536,,,
dataset1_raw_only_with_dummies,LGBM_default,3838,960,28,1.3243905449858238,1.816153743213485,-0.00034925507057637084,0.5146137787056367,,1.780983457352559,0.9560610762431193,17.0
dataset2_raw_plus_derived_with_dummies,naive_zero,3838,960,42,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,,,,,
dataset2_raw_plus_derived_with_dummies,naive_train_mean,3838,960,42,1.3241920705228418,1.8160954258032382,-0.00028501288679483316,0.5156576200417536,,,,
dataset2_raw_plus_derived_with_dummies,naive_train_median,3838,960,42,1.3240520833333336,1.8174689646593698,-0.0017986446865609906,0.5156576200417536,0.5156576200417536,,,
dataset2_raw_plus_derived_with_dummies,naive_lag1_persistence,3838,960,42,1.9108749999999999,2.6846134498284857,-1.1857976568859643,0.47175732217573224,0.4709051724137931,,,
dataset2_raw_plus_derived_with_dummies,LGBM_default,3838,960,42,1.3244075744099733,1.815979539223843,-0.00015735890071799652,0.5093945720250522,,1.7803579643332992,0.9564557022137747,1.0
dataset3_diff_only_with_dummies,naive_zero,3838,960,26,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,,,,,
dataset3_diff_only_with_dummies,naive_train_mean,3838,960,26,1.3241920705228418,1.8160954258032382,-0.00028501288679483316,0.5156576200417536,,,,
dataset3_diff_only_with_dummies,naive_train_median,3838,960,26,1.3240520833333336,1.8174689646593698,-0.0017986446865609906,0.5156576200417536,0.5156576200417536,,,
dataset3_diff_only_with_dummies,LGBM_default,3838,960,26,1.3248501016225072,1.8163429381809326,-0.0005576855555422533,0.5104384133611691,0.46835443037974683,1.7782268551581555,0.9573200915359665,14.0
dataset4_derived_full_with_dummies,naive_zero,3838,960,42,1.3245520833333335,1.8159163492573112,-8.77559023375607e-05,,,,,
dataset4_derived_full_with_dummies,naive_train_mean,3838,960,42,1.3241920705228418,1.8160954258032382,-0.00028501288679483316,0.5156576200417536,,,,
dataset4_derived_full_with_dummies,naive_train_median,3838,960,42,1.3240520833333336,1.8174689646593698,-0.0017986446865609906,0.5156576200417536,0.5156576200417536,,,
dataset4_derived_full_with_dummies,naive_lag1_persistence,3838,960,42,1.9108749999999999,2.6846134498284857,-1.1857976568859643,0.47175732217573224,0.4709051724137931,,,
dataset4_derived_full_with_dummies,LGBM_default,3838,960,42,1.3244517744871767,1.8162624995487748,-0.00046906604676810737,0.5041753653444676,0.5818181818181818,1.7789082744335887,0.9572091584964997,14.0
